prompt,response,category
"Classify this IT incident:

Relevant Knowledge:
- Transaction timeout errors occur when operations exceed configured limits. Optimize long-running queries, batch operations appropriately, or increase timeout settings.
- Database backup failures risk data loss. Monitor backup job status, verify backup integrity, ensure sufficient storage space, and test restore procedures.

Message: Classify this incident: PostgreSQL primary server crashed with out-of-memory error, replica promoted to primary
Category:","**Category:** Database
**Severity:** critical

This is a database infrastructure failure requiring immediate attention. The primary database server experienced OOM, but automatic failover to replica occurred.",Database
"Classify this IT incident:

Relevant Knowledge:
- Firewall blocking legitimate traffic causes connectivity issues. Review firewall rules, check logs for dropped packets, verify security group configurations.
- Load balancer health check failures remove backends from rotation. Ensure health check endpoints are responsive, adjust timeout/interval settings appropriately.
- SSL/TLS handshake failures stem from certificate issues, protocol mismatches, or cipher suite incompatibility. Verify certificates and update SSL configurations.

Message: Classify this incident: Network packet loss detected between datacenter-A and datacenter-B. Latency increased from 2ms to 150ms. BGP routes unstable.
Category:","**Category:** Network
**Severity:** high

Network routing issue affecting inter-datacenter communication. BGP instability indicates possible route flapping or infrastructure failure.",Network
"Classify this IT incident:

Relevant Knowledge:
- Synchronous processing blocks threads unnecessarily. Implement async/await patterns, use message queues for background tasks.
- Database connection latency >50ms impacts query performance. Use connection pooling, reduce connection setup overhead, optimize network path.

Message: Classify this incident: Memory usage at 94% on app-server-05. Swap file active. GC taking 8 seconds per cycle.
Category:","**Category:** Performance
**Severity:** high

Performance degradation due to memory exhaustion. Heavy garbage collection indicates heap pressure, not application logic error.",Performance
"Classify this IT incident:

Relevant Knowledge:
- SSL certificate expiration causes trust errors. Implement automated certificate renewal, monitor expiration dates, and maintain certificate inventory.
- XSS attacks inject malicious scripts into web pages. Sanitize user inputs, encode outputs, implement Content Security Policy headers.

Message: Classify this incident: Multiple failed SSH login attempts from IP 198.51.100.42. 500 attempts in last 5 minutes. Targeting root account.
Category:","**Category:** Security
**Severity:** critical

Security incident - brute force attack on SSH. Requires immediate blocking and fail2ban configuration.",Security
"Classify this IT incident:

Relevant Knowledge:
- OAuth2 authentication failures stem from invalid tokens, expired credentials, misconfigured redirect URIs, or clock skew between services. Verify token lifetimes and issuer configurations.
- HTTP 500 errors indicate server-side application failures. Common causes: uncaught exceptions, null pointer errors, configuration issues, missing dependencies, or resource exhaustion within application code.
- Message queue consumer lag indicates slow processing, insufficient consumers, or large message backlogs. Scale consumers horizontally or optimize processing logic.

Message: Classify this incident: Application throwing NullPointerException in UserService.getUserProfile(). Stack trace shows null userId at line 142. Error rate: 45 errors/min.
Category:","**Category:** Application
**Severity:** high

**This is APPLICATION issue (not Network/Performance):**
- NullPointerException = application code bug
- Business logic error in UserService
- Not caused by infrastructure or network
- Application-level null handling missing",Application
"Classify this IT incident:

Relevant Knowledge:
- Docker image pull failures prevent deployments. Check registry connectivity, verify credentials, ensure sufficient disk space.
- Ingress controller errors block external traffic. Review ingress rules, verify TLS certificates, check backend service health.

Message: Classify this incident: Kubernetes pod evicted: api-gateway-7d9f8b5c4-x9k2p terminated with OOMKilled. Memory limit 512Mi exceeded.
Category:","**Category:** Infrastructure
**Severity:** high

Infrastructure-level resource management. K8s evicting pod due to memory limits. Infrastructure configuration issue, not application bug.",Infrastructure
"Classify this IT incident:

Relevant Knowledge:
- Connection pool exhaustion happens when all connections are in use. Increase pool size, fix connection leaks, or optimize query performance to release connections faster.
- Index fragmentation degrades query performance over time. Rebuild or reorganize indexes regularly, especially on tables with heavy write activity.

Message: Classify this incident: SELECT query on orders table taking 45 seconds normally <1s. Query plan shows sequential scan. 5M rows scanned.
Category:","**Category:** Database
**Severity:** high

Database performance issue caused by missing index. Query optimization needed at database layer.",Database
"Classify this IT incident:

Relevant Knowledge:
- Disk I/O bottlenecks slow data access. Use faster storage (SSD/NVMe), implement caching layers, optimize read/write patterns.
- Cold start latency in serverless affects first requests. Use provisioned concurrency, optimize initialization code, or maintain warm instances.
- Synchronous processing blocks threads unnecessarily. Implement async/await patterns, use message queues for background tasks.

Message: Classify this incident: Redis cache hit rate dropped to 12%. API response times increased from 100ms to 2.5s. High load on PostgreSQL.
Category:","**Category:** Performance
**Severity:** high

Performance issue from cache miss storm. System performance problem, not application logic error.",Performance
"Classify this IT incident:

Relevant Knowledge:
- Service mesh configuration errors break inter-service communication. Validate mesh policies, check mTLS settings, review routing rules.
- Out-of-memory (OOM) kills terminate processes. Increase memory limits, fix memory leaks, optimize memory usage patterns.

Message: Classify this incident: Load balancer health check failing /health endpoint on app-server-03 returning 503. Service marked unhealthy.
Category:","**Category:** Infrastructure
**Severity:** medium

Infrastructure health detection working correctly. Load balancer removing unhealthy instance from pool.",Infrastructure
"Classify this IT incident:

Relevant Knowledge:
- Session management issues occur when user sessions expire prematurely, fail to persist, or become corrupted. Check session timeout configs, Redis/memcached health, sticky sessions in load balancers.
- HTTP 500 errors indicate server-side application failures. Common causes: uncaught exceptions, null pointer errors, configuration issues, missing dependencies, or resource exhaustion within application code.
- OAuth2 authentication failures stem from invalid tokens, expired credentials, misconfigured redirect URIs, or clock skew between services. Verify token lifetimes and issuer configurations.

Message: Classify this incident: Application HTTP 500 errors spiking 1500 errors in last 5 minutes. All from /api/checkout. Logs show org.springframework.dao.DataIntegrityViolationException foreign key constraint.
Category:","**Category:** Application
**Severity:** critical

**This is APPLICATION issue (NOT Database/Performance):**
- HTTP 500 = application server error
- DataIntegrityViolationException = application sending invalid data
- Application validation logic missing
- Database working correctly by rejecting bad data
- Root cause: Application code bug in checkout logic",Application
